age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,coffee_per_day,breaks_per_day,night_usage,distraction_score,addiction_level,productivity_score
34,2.26,0.8,7.03,5.624148885,106.0446666,100,3,9,0,0.481,Low,68.0158691
29,8.04,4.56,1.24,4.33432841,,77.53,2,3,1,,Medium,-7.309928062
21,8.6,7.74,6.89,9.000535575,64.33312908,100,2,7,1,3.453,High,43.99035695
26,8.88,7.11,2.64,6.194326577,259.5708045,77.29,1,4,1,8.628,High,5.032141759
22,,2.68,2.95,5.196787175,226.331327,100,3,3,0,5.695,Medium,20.81343618
29,11.39,9.04,0.31,8.307092496,192.9748384,79.51,2,2,1,9.622,High,-5.541641375
17,3.81,1.38,2.62,8.246195159,150.9852149,100,1,1,0,4.319,Low,65.4243323
28,8.23,3.59,7.11,4.125590467,84.45850911,100,3,5,1,4.002,Medium,60.78791695
31,6.345,1.28,0.2,7.187214346,402.1068625,100,0,1,0,5.775,Low,14.74691782
18,7.605,,3.25,7.484526151,140.756329,100,0,4,0,3.02,Medium,39.26982553
32,7.46,2.72,0.25,5.049022476,91.40590192,97.64,2,4,1,5.495,Medium,13.82814888
22,6.17,3.6,2.97,5.981467836,240.3348377,91.85,2,2,1,6.834,Medium,9.289966515
18,3.6,2.54,1.38,3.952870863,181.8422487,94.42,3,1,0,5.186,Medium,13.38077568
16,,3.06,2.02,8.394836835,301.4405372,95.9,2,1,0,,Medium,25.49926663
,6.18,4.63,7.02,8.78462962,239.7332912,100,1,6,1,5.744,Medium,54.29087697
36,9.57,8.26,3.49,4.487817413,159.0842646,87.1,,3,1,6.838,High,6.953066321
24,10.98,3.65,2.19,7.680256561,63.3717558,100,2,2,1,5.913,Medium,22.1987651
18,2.84,0.87,4.71,8.273219085,148.3829237,100,2,3,0,3.307,Low,88.61244883
36,5.93,4.13,1.14,5.592043489,184.4296094,95.81,2,3,0,6.663,Medium,1.302947832
32,4.5,1.42,2.08,7.587688064,174.4980593,100,0,2,0,2.816,Low,26.7967653
26,2.17,0.98,4.37,4.809306053,276.9206783,100,3,2,0,5.214,Low,42.83803396
16,8.62,4.3,1.9,8.913042573,238.0058593,,2,3,1,8.84,Medium,19.2229519
24,8.02,3.7,,7.042105019,90.60586901,100,0,9,1,4.301,Medium,62.7100573
18,3.63,2.2,3.93,7.175522369,110.2930026,100,0,2,0,2.476,,42.62240959
28,4.34,2.45,6.18,6.979980273,56.86668676,100,2,6,0,1.236,Medium,76.98147316
30,2.24,1.36,7.59,7.079454977,75.28057719,100,0,8,0,-0.017,Low,101.1835273
29,10.35,7.28,0.93,8.955871071,286.4281253,,1,2,1,10.356,High,2.47215087
22,11.75,6.25,2.68,6.893214792,114.6722611,100,0,3,1,7.171,High,2.660297928
28,3.35,1.51,2.56,9.053014083,49.65135532,100,2,3,0,1.907,,53.77875604
37,4.31,1.72,1.21,,205.4233928,100,2,2,0,6.272,Low,35.12362588
39,10.68,5.44,6.48,5.287228757,218.2159897,100,4,8,1,7.636,High,53.2147209
22,11.26,8.39,6.08,8.462387603,221.1328326,91.34,1,7,1,8.786,High,8.712796961
35,6.2,4.67,3.88,7.194780272,198.4466068,94.81,2,1,,5.936,Medium,32.82864866
30,2.51,1.76,4.3,7.369984058,252.1030254,100,1,4,0,5.245,Low,59.45250893
27,2.39,1.05,0.48,8.551743887,47.42703336,100,1,2,0,2.231,Low,46.53900908
32,7.74,5.05,4.44,5.174937202,172.2749991,96.66,4,1,1,6.058,High,23.24738443
29,5.93,3.81,6.33,5.577962933,167.3243295,,1,6,0,4.806,Medium,57.50452673
35,2.29,1.35,4.59,4.839443258,164.3413608,100,3,2,0,3.308,Low,46.73499454
38,,4.93,2.12,7.15838179,140.7397873,98.21,0,1,1,6.259,,9.529498414
39,2.11,1.26,,8.035923494,89.73929669,100,1,8,0,1.473,Low,93.77767008
27,,6.31,2.89,9.029027561,173.5325165,94.27,1,1,1,7.568,High,21.71555537
23,5.06,3.69,4.36,6.793932895,183.9730292,100,2,4,0,5.102,Medium,
29,2.4,0.88,3.9,7.555100064,99.58690793,100,0,4,0,2.17,Low,55.69684974
27,7.88,,3.05,8.282529278,86.46380891,100,2,4,1,5.445,High,6.510880241
15,5.98,,,7.641158538,240.6976961,100,0,2,0,,Medium,62.38351908
39,11.74,3.99,7.07,5.382581901,214.6830407,100,2,7,1,8.249,Medium,33.48647593
21,7.44,6.59,,7.076760724,102.5739224,85.53,0,3,1,,High,
23,4.75,4.15,7.47,8.941856464,124.8100983,100,2,7,0,2.434,Medium,65.10863392
38,9.09,3.06,4.09,9.041678975,178.8621297,100,0,1,1,6.878,Medium,58.94058744
15,4.71,2.67,5.61,7.473905101,133.10377,100,2,9,0,3.332,Medium,48.7168027
26,11.04,4.55,6.84,8.302593967,67.4741981,100,1,8,1,4.328,Medium,78.03117874
22,5.75,3.4,3.74,4.773430849,186.2681977,97.4,,1,0,5.393,Medium,13.62942896
38,7.5,5.99,6.68,5.328413141,66.23625032,100,3,8,1,3.226,High,59.52088668
25,2.51,2.18,1.42,8.765392975,94.89390467,100,1,1,0,2.489,,37.11963772
33,6.26,4.26,1.27,4.934239684,35.68400929,100,2,2,1,3.789,Medium,5.801779145
31,10.32,5.29,5.26,4.637204547,61.60080283,100,3,5,1,4.882,High,13.64459277
22,10.06,6.66,6.96,6.405620116,248.5833258,97.58,1,9,1,7.702,High,33.530589
17,4.24,2.07,7.14,7.150616435,223.7581164,100,2,8,0,4.278,Medium,81.55965347
17,4.26,3.6,5.15,6.647632492,293.6969405,100,0,5,0,6.025,Medium,58.31997373
,10.17,8.36,4.2,5.461928915,246.8019212,81.79,3,2,1,8.925,High,0.619272798
19,,7.17,2.65,8.738910852,,98.2,1,3,1,,High,6.147915769
24,2.95,,7.84,8.692987084,134.2446005,100,1,7,0,1.343,,93.52534048
21,6.5,3.09,2.56,6.570495987,101.1521362,100,3,1,1,4.782,Medium,15.49481624
23,5.37,1.72,5.95,6.039173706,247.6955983,100,2,7,0,5.84,Low,55.74092302
21,10.71,8.46,4.26,7.159142522,255.8343944,80.78,0,3,1,9.157,High,-2.641414301
23,2.84,1.62,4.87,7.260690327,141.5492987,,1,4,0,2.379,Low,79.29206263
22,4.11,2.03,3.15,5.840694574,261.4552465,100,4,4,0,6.53,Medium,25.92116716
26,9.52,5.55,7.72,5.584084015,123.5595311,100,1,6,1,5.624,High,57.92769167
16,2.51,1.99,4.57,5.787116498,148.1556518,100,3,1,0,3.124,Low,34.18283444
15,6.93,2.6,7.5,4.314824573,243.2369468,100,2,6,1,6.395,Medium,74.29289811
30,6.42,5.23,0.06,5.770983766,278.9953612,76.03,2,2,1,8.892,High,0.721567801
37,5.34,4.48,4.58,7.320965303,82.95135752,100,1,4,0,2.896,Medium,51.87235284
37,5.95,5.16,5.74,7.274059032,51.2496293,100,0,5,0,2.093,High,56.87225557
38,,3.93,5.96,7.339445372,17.70469622,100,1,6,1,2.462,Medium,60.64682374
19,3.61,1.55,7.24,5.555157856,16.4774258,100,3,5,0,0.333,Low,83.97746692
17,7.72,4.05,0.04,7.85509882,93.37300309,100,0,1,1,5.208,Medium,0.141058514
26,10.05,5.02,0,3.639418859,197.8177899,75.29,3,2,1,8.805,High,-1.361205914
22,9.6,3.89,3.78,5.412930998,153.3777894,97.3,0,4,1,6.426,Medium,42.41304062
36,3.54,2.35,0.23,7.937942078,54.16956886,100,1,3,0,2.921,Medium,22.70675184
17,3.49,2.05,7.8,7.171768753,35.18857915,100,2,,0,-0.015,Medium,92.9941985
15,7.02,3.83,1.78,6.333544259,116.4023006,100,1,3,0,,Medium,46.45542337
17,5.61,1.79,3.78,6.718488213,294.8059865,100,2,1,0,7.351,Low,70.98112421
19,6.08,4.17,0.49,8.34988665,240.6000341,95.64,1,1,1,7.413,Medium,
29,8.8,6.67,4.18,7.164024665,198.2190676,91.39,0,1,1,6.866,High,16.12335863
28,2.57,1.94,3.04,8.330362888,30.63923945,100,1,3,0,0.793,Low,61.53645596
17,2.35,1.95,0.36,9.322696994,81.861071,,0,1,0,2.807,Low,36.39415067
15,5.92,4.37,2.68,6.995253366,200.5925471,100,2,1,0,6.736,Medium,33.72627245
19,8.97,7.68,3.13,7.938202284,162.1459101,97.4,0,4,1,6.706,,20.98872833
37,3.93,1.96,7.92,4.162126615,55.08880909,100,4,6,0,0.709,Low,85.67720063
28,8.42,5.07,1.66,6.436224997,213.2606427,87.44,4,1,1,8.452,High,-3.829257907
21,4.6,1.42,4.36,5.791985836,286.4931269,,1,3,0,6.932,Low,52.67984789
23,10.86,3.3,7.9,8.027715625,195.8922425,100,0,5,1,7.04,Medium,99.19542059
29,10.96,4.87,6.34,6.566839767,22.32421747,100,2,9,1,4.058,Medium,53.25048284
29,4.97,1.79,7.95,8.815659217,162.9204352,100,2,5,0,3.08,Low,100.2496292
24,4.3,1.96,7.75,4.856306698,146.0252786,100,3,5,0,2.865,Low,69.05785094
27,6.11,2.48,3.92,7.492765337,116.163855,100,1,1,1,4.239,Medium,53.09215395
33,4.41,1.4,5.57,5.63740708,184.3070884,100,1,8,0,4.114,Low,86.83571828
21,8.72,7.37,0.88,6.214587867,270.7337604,78.44,1,1,1,9.196,High,1.283100545
31,10.26,3.13,3.53,7.812281011,180.2505288,100,1,3,1,7.391,Medium,37.90608633
34,8.73,6.47,6.47,5.689747805,118.7154041,100,3,6,1,5.104,High,48.9064253
18,10.24,4.01,4.04,3.786445633,3.064204196,100,3,4,1,4.368,Medium,31.78511128
19,5.97,5.06,5.62,7.244697369,104.9444014,100,,8,0,3.419,High,30.0719862
37,3.56,2.98,5.97,5.731296252,82.84640382,100,1,9,0,1.289,Medium,66.27243003
21,9.38,6.49,2.03,7.030762261,122.9424146,95.62,0,1,1,6.121,High,9.988581691
27,5.6,3.94,7.01,8.459285559,197.6938652,100,1,6,0,4.157,Medium,91.03870993
29,8.71,2.64,3.68,4.466616278,117.443818,100,4,3,1,5.851,Medium,47.96587983
25,4.71,4.2,1.68,6.760072742,136.0660317,98.23,1,1,0,4.571,Medium,19.12434858
18,2.81,2.32,6.92,7.332174723,116.9772729,100,2,5,0,1.649,Medium,84.04171466
,11.93,9.99,3.34,9.170999277,210.1203955,85.75,0,4,1,9.123,High,-1.081547761
21,3.56,2.48,6,9.259118188,92.14949245,100,2,5,0,2.12,Medium,65.90544816
33,11.88,6.02,4.38,7.564204584,143.0964712,100,2,3,1,6.746,High,41.80957792
36,11.77,9.84,3.05,6.574211295,40.22744509,80.82,2,2,1,5.87,High,2.23629736
16,9.94,4.72,6.48,4.833688741,56.73439372,100,4,5,1,4.026,Medium,46.57553451
24,8.59,5.48,4.68,6.635024599,149.2615404,100,3,1,1,5.791,High,16.21516287
27,7.78,2.8,3.12,6.961334594,214.8724225,100,1,1,1,7.294,Medium,32.12683189
39,10.66,9.09,0.88,,55.45839637,76.81,2,2,1,6.066,High,-6.804713681
35,4.89,1.88,7.16,7.127021209,234.963861,100,1,9,0,5.317,Low,87.50420302
20,6.68,2.91,0.28,7.674164524,69.24508149,100,2,2,1,4.536,Medium,12.60087895
26,8.19,5.2,6.91,5.284078705,194.6611664,100,1,8,1,6.182,High,52.17538559
26,6.11,4.63,2.88,7.663332071,76.2622985,100,1,1,1,3.611,Medium,26.44399551
34,6.27,4.21,5.11,4.553211985,67.67789899,100,2,7,1,3.022,Medium,43.7104595
25,5.3,2.33,7.38,4.822365198,88.91194799,100,2,5,0,2.396,Medium,71.17341624
37,7.64,2.3,1.21,4.865822848,78.0768045,100,2,3,1,4.817,Medium,14.00168662
39,10.51,7.93,4.54,8.696267064,242.6124796,86.69,2,1,1,8.873,High,8.718898145
21,4.02,3.58,,4.120551009,48.84347186,100,4,2,0,,Medium,39.82043361
,11.34,8.91,6.06,8.111653632,253.186496,93.23,2,9,1,9.172,High,0.663651719
15,8.89,5.12,4.21,5.79815615,,98.45,3,3,1,,High,8.978265919
39,10.23,8.62,5,6.127739719,49.04363889,100,1,1,1,4.435,High,22.81975134
39,7.56,4.13,6.06,,143.2168657,100,1,7,1,4.942,Medium,70.62341786
34,9.8,6.03,6.73,7.349768454,16.64628845,100,2,6,1,3.401,High,44.34495856
27,2.16,1.27,6.09,4.94715318,299.6945104,100,2,6,0,5.073,Low,55.35923035
23,10.18,5.79,2.83,5.648225377,52.4604199,87.06,2,3,1,5.501,High,1.053877025
17,2.4,1.84,7.97,7.86660827,,100,0,5,0,,Low,104.309963
21,10.9,6.72,3.48,5.587336873,95.18523562,96.54,0,3,1,6.086,High,8.312599409
20,11.92,5.84,0.2,7.397452734,290.8620394,75.6,0,4,1,11.2,High,9.533698824
22,4.94,2.25,2.9,5.227286803,107.8000475,,0,3,0,3.44,,33.67210816
23,4.1,1.32,1.02,6.23013795,87.04702625,100,4,1,,3.544,Low,32.55443917
19,9.65,6.27,0.97,5.051030296,219.6613247,73.4,2,1,1,,High,-8.62064203
15,,1.98,2.25,7.554657075,224.9401847,100,0,2,0,5.75,Low,41.12739149
33,10.66,4.15,0.43,,150.0415199,90.94,0,4,1,8.741,Medium,0.863613745
24,,2.1,5.51,5.128090951,34.870255,100,3,6,0,,Medium,67.17110279
26,3.26,2.31,0.59,7.967988835,115.2439243,100,0,1,0,3.253,Medium,31.9387581
38,11.79,8.86,,8.621958674,259.8785872,77.07,0,3,1,,High,5.767314235
29,8.74,5.26,0.74,8.177108514,170.5765739,95.76,0,3,1,7.728,,
36,10.47,8.76,0.51,4.985934645,70.17627197,71.36,2,4,1,6.962,High,1.646720639
38,5.24,4.52,2.14,5.815634356,,96.78,4,2,0,5.118,Medium,-6.675424214
23,8.76,6.87,4.58,8.049565933,65.91213558,100,1,2,1,4.206,High,45.81653597
34,7.94,5.41,7.72,4.890044668,43.27540572,100,2,9,1,2.354,High,60.5953993
31,12.045,3.87,7,3.905073231,424.0066261,100,4,7,1,6.075,Medium,52.79989397
31,8.83,7.86,7.01,8.389954374,62.66309589,100,0,6,1,3.252,High,
34,7.75,3.6,1.41,5.502196876,196.312469,89.79,3,,1,7.092,Medium,19.45685748
26,6.29,,2.12,5.708805281,67.58317004,100,2,1,1,3.989,Medium,33.20790069
21,4.76,2.69,0.61,6.222752481,309.8579865,85.99,2,2,0,8.057,Medium,25.33682207
16,9.69,3.24,6.23,8.429395368,102.8604704,100,0,5,1,5.396,Medium,73.91149242
17,4.26,3.78,0.56,5.30982171,76.93771087,96.82,2,4,0,3.182,Medium,4.810946962
31,8.92,5.83,4.45,9.092975267,284.0924772,93.21,2,2,1,8.765,High,53.80974289
19,4.33,2.75,1.98,6.141242448,193.66003,100,0,3,0,5.371,Medium,31.75096108
31,8.25,5.72,1.95,6.086730389,238.2212135,85.9,2,3,1,8.08,High,-4.139726003
38,9.47,5.67,7.93,6.641878798,71.86085478,100,2,8,1,3.716,High,59.9928721
,4.19,1.34,6.05,5.121127748,98.80399613,100,4,5,0,1.86,Low,67.33570472
31,2.6,1.74,6.7,7.458356527,29.50459832,100,2,9,0,-0.21,Low,
16,3.31,,4.58,6.686145312,180.6440631,100,2,1,0,3.621,Medium,54.80452205
16,8.06,4.43,6.97,8.203687507,235.8484756,100,1,5,1,6.539,Medium,100.973157
36,10.49,7.91,5.16,5.96133753,,90.07,1,9,1,,High,18.11420013
37,2.45,1.07,7.57,6.691368605,111.0185497,100,0,5,0,1.034,Low,104.0820317
19,9.34,4.04,2.25,6.037400575,183.7603098,92.22,0,4,1,7.575,Medium,21.44742639
15,5.41,2.15,4.76,7.765560194,53.94525697,100,2,4,0,2.597,Medium,63.58087924
15,6.79,3.55,5.52,6.36983264,182.0877802,100,2,5,1,5.359,Medium,40.12349343
33,11.29,9.12,3.14,5.407891978,148.4595885,70.11,4,1,1,8.183,High,-6.599749125
16,5.32,4.24,7.04,8.368913835,234.4640294,100,0,9,0,5.528,Medium,66.73968361
35,6.65,3.52,7.84,,212.410676,100,0,9,1,4.513,Medium,90.28901431
26,2.14,1.4,3.95,,191.3700034,100,0,2,0,3.485,Low,66.45095911
20,2.82,2.07,3.13,,275.8268868,,0,4,,5.791,Medium,39.7536071
37,4.59,2.04,3.78,7.778363714,58.86343785,100,2,3,0,2.661,Medium,72.8320917
18,2.28,0.91,6.82,6.060876957,182.0699367,100,3,6,0,2.494,Low,83.73557038
37,8.31,7.34,5.16,3.781653296,74.486222,87.29,3,6,1,4.067,High,2.827357782
25,6.26,4.2,,7.79768634,225.2197131,88.11,0,1,1,7.862,Medium,-1.269538521
38,7.48,6.65,4.34,4.95805325,265.6890799,88.47,,2,1,7.898,High,7.082293138
31,3.75,1.88,0.14,6.621544155,78.99517558,100,1,2,0,3.573,Low,19.84158357
20,4.96,3.58,6.23,4.665801984,88.00924986,100,4,9,0,2.051,Medium,61.31522175
38,8.64,3.75,2.63,6.17676804,255.375963,96.7,3,1,1,8.811,Medium,17.91122919
19,11.65,,3.78,4.64479118,79.92655626,92.54,3,4,1,5.871,High,14.7351712
34,2.5,,6.39,5.946274044,153.1025398,100,2,7,0,2.473,Low,72.52316923
16,10.9,5.36,0.37,6.87788616,310.2700457,74.45,2,1,1,11.039,High,-4.432721827
20,7.77,3.11,1.27,4.944087088,175.2096563,97.65,4,3,1,6.644,Medium,12.36402021
36,,,3.18,6.657987444,246.6321588,99.05,3,3,0,,Medium,15.56746996
25,7,2.25,1.84,8.189593372,177.0876018,100,2,3,1,6.768,Medium,40.1657331
30,2.69,1.94,2.7,6.931127047,220.8924773,100,0,2,0,4.615,Low,54.98857319
30,2.9,1.73,7.99,9.037427845,249.8267841,100,1,8,0,4.233,Low,
15,8.01,2.86,6.6,8.932040856,214.3007297,100,2,8,1,6.625,Medium,77.74071263
23,5.41,2.18,7.07,8.779434942,147.0852166,100,1,6,0,3.984,Medium,83.87674673
20,11.17,4.04,7.5,7.678215842,135.045311,,1,6,1,6.195,Medium,68.66573154
30,6.07,4.05,2.73,5.784490148,63.69440028,100,2,4,1,3.576,Medium,8.828245064
17,3.43,1.22,2.38,8.912259252,135.6724339,100,1,1,,3.861,Low,68.70121933
34,9.15,6.89,1.87,8.679892926,82.62038053,88.42,0,2,1,5.754,High,3.23871575
18,4.93,1.54,6.64,7.852286241,269.2806661,100,1,6,0,5.473,Low,83.8803487
33,7.25,3.26,5.44,5.606051794,,100,2,9,1,2.553,Medium,40.38373921
17,8.98,7.49,1.89,9.148397724,,80.23,0,3,1,,High,-3.872711883
33,11,8.04,3.02,7.375880382,145.0843024,90.89,0,1,1,7.474,High,11.16276553
34,9.92,3.41,4.05,7.973464233,140.1799598,100,1,3,1,6.365,Medium,40.26389375
21,13.14,6.94,4.23,4.6523529,148.8193799,81.48,4,2,1,4.571,High,7.036422223
34,8.8,5.24,7.11,5.151283166,101.7614628,100,2,8,1,4.427,High,41.75816838
23,11.46,9.26,3.04,8.656904092,125.8465406,82.74,0,3,1,7.098,High,2.112863048
15,4.96,3.28,7.27,6.327578093,265.447778,100,2,7,0,5.679,Medium,66.95364044
22,2.01,,3.53,5.750117471,201.6375092,100,3,4,0,3.646,Low,38.80862877
21,4.72,4.23,5.97,8.399977701,246.5895972,100,1,7,0,5.489,Medium,47.54190805
32,4.18,1.84,7.44,4.830789065,167.1356199,100,4,,0,,Low,71.8952275
22,8.62,5.81,7.26,5.817704407,68.47358271,100,2,8,1,3.812,High,72.40082722
15,8.34,4.81,0.46,5.817181664,27.77925945,87.4,3,1,1,4.512,Medium,1.822661782
25,7.93,2.57,1.65,5.676835518,150.9083481,100,4,1,1,6.25,Medium,14.42293913
39,2.16,0.67,3.82,6.278561737,238.7068234,100,2,4,0,4.694,Low,57.99913769
39,,3.45,3.45,4.218146974,62.10799667,100,4,1,1,4.85,Medium,33.87979824
32,5.24,3.61,5.13,4.777591354,214.8122969,100,4,6,0,5.221,Medium,33.66294953
37,8.65,5.54,7.56,7.69096519,26.55883082,100,2,5,1,2.957,High,91.60131758
24,7.57,4.78,0.9,,305.028889,92.97,1,2,1,9.235,Medium,1.366635668
17,5.43,1.73,3.61,6.001871508,181.5132742,100,0,1,0,5.252,Low,50.949441
21,3.35,1.95,1.54,5.092307589,254.6663967,95.09,4,3,0,6.253,Low,24.02688368
30,2.94,2.51,7.15,5.002940287,147.6018239,100,2,9,0,2.305,Medium,74.43521859
30,10.32,5.56,7.72,7.872330653,25.94430694,100,0,7,1,3.644,,63.82662487
39,11.18,7.55,3.83,8.515537182,135.2941911,99.94,2,4,1,7.381,High,23.43014717
34,8.5,6.53,0.83,5.674693588,114.7458948,83.58,4,4,1,5.901,High,-1.144384869
31,3.03,2.33,6.28,5.298752503,72.64424775,,4,6,0,1.471,Medium,81.80389728
16,6.02,3.68,5.58,7.869418238,256.5491718,100,1,7,1,6.376,Medium,32.44820702
15,9.29,7.57,2.84,7.036965242,123.0752717,87.17,1,3,1,6.293,High,7.103151369
30,9.8,,7.1,6.676486395,38.55552901,100,0,6,1,3.33,High,62.61771575
26,3.18,2.65,7.81,7.218165402,139.7275707,100,2,6,0,2.007,Medium,86.83424738
19,2,0.89,4.46,7.485429266,71.09483208,100,2,1,0,1.042,Low,56.76147687
19,9.12,4.27,4.53,9.080144634,30.11648971,100,0,3,1,3.781,Medium,57.43105947
37,5.57,1.85,2.38,5.087100503,123.5978602,100,4,1,0,4.711,Low,22.19196723
23,4.54,3.53,4.68,8.616757813,261.9878276,100,2,3,0,6.566,Medium,50.59794649
23,2.13,1.17,3.52,6.309380458,114.9106285,100,4,3,0,1.949,Low,58.11031139
17,7.4,3.24,2.42,7.125645006,59.6599387,100,1,3,1,4.074,Medium,40.46754261
33,10.51,4.61,0.54,6.497287995,212.1618113,91.26,0,1,1,9.513,Medium,-9.392042096
30,11.58,9.74,2.02,5.921905037,150.5360974,66.21,2,4,1,7.924,High,5.206015924
30,7.66,6.13,1.58,7.475494408,226.2750028,92.36,1,4,1,7.536,,
17,,4.51,4.34,5.478197093,265.1615189,100,3,4,1,7.488,Medium,45.81573478
34,2.85,1.91,4.81,4.268193129,184.823972,100,2,2,0,3.742,Low,34.67856119
38,7.49,4.38,4.87,6.948208656,249.0166331,100,1,2,1,7.264,Medium,30.03194096
,5.8,3.1,3.11,6.122808203,63.0273877,100,2,3,0,3.307,Medium,47.28272692
38,12.105,6.85,3.37,5.550485399,360.236523,97.8,3,1,1,6.404,High,1.7211319
15,5.89,2.21,6.67,8.534260548,220.3585168,100,2,5,0,5.484,Medium,99.37683313
38,4.4,2.42,3.81,4.796489765,94.52585083,100,4,,0,2.657,Medium,31.39786297
